"Source:","C:\Users\kosma\Desktop\RGB-YPbPr-Converter\RGB-YPbPr-Converter.kicad_sch"
"Date:","07/10/2022 02:48:25"
"Tool:","Eeschema (6.0.7)"
"Generator:","C:\Program Files\KiCad\6.0\bin\scripting\plugins/bom_csv_grouped_by_value.py"
"Component Count:","58"

"Individual Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","Manufacturer","Mouser","Part Number","TME"
"","","C1","10u/16V","Device:C_Polarized_Small","Capacitor_THT:CP_Radial_D5.0mm_P2.00mm","~","Generic","","10u/16V","UVR1C100MDD"
"","","C2","100n/16V","Device:C_Small","Capacitor_SMD:C_0805_2012Metric","~","Generic","","100n/16V",""
"","","C3","100n/16V","Device:C_Small","Capacitor_SMD:C_0805_2012Metric","~","Generic","","100n/16V",""
"","","C4","100n/16V","Device:C_Small","Capacitor_SMD:C_0805_2012Metric","~","Generic","","100n/16V",""
"","","C5","100n/16V","Device:C_Small","Capacitor_SMD:C_0805_2012Metric","~","Generic","","100n/16V",""
"","","C6","10u/16V","Device:C_Polarized_Small","Capacitor_THT:CP_Radial_D5.0mm_P2.00mm","~","Generic","","10u/16V","UVR1C100MDD"
"","","C7","10u/16V","Device:C_Polarized_Small","Capacitor_THT:CP_Radial_D5.0mm_P2.00mm","~","Generic","","10u/16V","UVR1C100MDD"
"","","C8","100n/16V","Device:C_Small","Capacitor_SMD:C_0805_2012Metric","~","Generic","","100n/16V",""
"","","C9","100n/16V","Device:C_Small","Capacitor_SMD:C_0805_2012Metric","~","Generic","","100n/16V",""
"","","D1","1N4001","Diode:1N4001","Diode_THT:D_DO-41_SOD81_P10.16mm_Horizontal","http://www.vishay.com/docs/88503/1n4001.pdf","Generic","","1N4001","1N4001-DIO"
"","","D2","5.6V","Device:D_Zener","Diode_SMD:D_SOD-323_HandSoldering","https://www.tme.eu/Document/faaef3a3ceea8ac2addceecf95f9ce09/BZX384_SER.pdf","Vishay","","BZX384-C5V6,115","BZX384-C5V6.115"
"","","D3","Green","Device:LED","LED_SMD:LED_0805_2012Metric","~","Generic","","LED 0805 Green","LTST-C170KGKT"
"","","H1","DNP","Mechanical:MountingHole_Pad","MountingHole:MountingHole_3.2mm_M3_ISO7380_Pad","~","","","",""
"","","H2","DNP","Mechanical:MountingHole_Pad","MountingHole:MountingHole_3.2mm_M3_ISO7380_Pad","~","","","",""
"","","H3","DNP","Mechanical:MountingHole_Pad","MountingHole:MountingHole_3.2mm_M3_ISO7380_Pad","~","","","",""
"","","H4","DNP","Mechanical:MountingHole_Pad","MountingHole:MountingHole_3.2mm_M3_ISO7380_Pad","~","","","",""
"","","J1","Barrel Jack 5.5/2.1","Connector:Barrel_Jack_Switch","Connector_BarrelJack:BarrelJack_Horizontal","https://www.tme.eu/pl/details/pc-gk2.1/zlacza-dc/ninigi/","Ninigi","","PC-GK2.1","PC-GK2.1"
"","","J2","D-Sub HD15 Female","Connector:DB15_Female_HighDensity_MountingHoles","lib:ICD15S13E4GV00LF","https://www.amphenol-cs.com/d-subminiature-high-density-icd15s13e4gv00lf.html","Amphenol","","ICD15S13E4GV00LF","ICD15S13E4GV00LF"
"","","J3","BNC 75 Ohm","Connector:Conn_Coaxial","Connector_Coaxial:BNC_Amphenol_B6252HB-NPP3G-50_Horizontal","https://app.adam-tech.com/products/index/category:3121","ADAM TECH","","RF1-01A-D-00-75-M","RF101AD0075M"
"","","J4","BNC 75 Ohm","Connector:Conn_Coaxial","Connector_Coaxial:BNC_Amphenol_B6252HB-NPP3G-50_Horizontal","https://app.adam-tech.com/products/index/category:3121","ADAM TECH","","RF1-01A-D-00-75-M","RF101AD0075M"
"","","J5","BNC 75 Ohm","Connector:Conn_Coaxial","Connector_Coaxial:BNC_Amphenol_B6252HB-NPP3G-50_Horizontal","https://app.adam-tech.com/products/index/category:3121","ADAM TECH","","RF1-01A-D-00-75-M","RF101AD0075M"
"","","Q1","Q_NPN_BEC","Device:Q_NPN_BEC","Package_TO_SOT_SMD:SOT-23","~","Generic","","BC847C","BC847C.215"
"","","Q2","Q_NPN_BEC","Device:Q_NPN_BEC","Package_TO_SOT_SMD:SOT-23","~","Generic","","BC847C","BC847C.215"
"","","Q3","Q_NPN_BEC","Device:Q_NPN_BEC","Package_TO_SOT_SMD:SOT-23","~","Generic","","BC847C","BC847C.215"
"","","R1","75","Device:R_Small","Resistor_SMD:R_0805_2012Metric","~","","","",""
"","","R2","75","Device:R_Small","Resistor_SMD:R_0805_2012Metric","~","","","",""
"","","R3","75","Device:R_Small","Resistor_SMD:R_0805_2012Metric","~","","","",""
"","","R4","1k","Device:R_Small","Resistor_SMD:R_0805_2012Metric","~","","","",""
"","","R5","1k","Device:R_Small","Resistor_SMD:R_0805_2012Metric","~","","","",""
"","","R6","75","Device:R_Small","Resistor_SMD:R_0805_2012Metric","~","","","",""
"","","R7","75","Device:R_Small","Resistor_SMD:R_0805_2012Metric","~","","","",""
"","","R8","1k","Device:R_Small","Resistor_SMD:R_0805_2012Metric","~","","","",""
"","","R9","1070","Device:R_Small","Resistor_SMD:R_0805_2012Metric","~","","","",""
"","","R10","549","Device:R_Small","Resistor_SMD:R_0805_2012Metric","~","","","",""
"","","R11","2940","Device:R_Small","Resistor_SMD:R_0805_2012Metric","~","","","",""
"","","R12","0R","Device:R_Small","Resistor_SMD:R_0805_2012Metric","~","","","",""
"","","R13","0R","Device:R_Small","Resistor_SMD:R_0805_2012Metric","~","","","",""
"","","R14","0R","Device:R_Small","Resistor_SMD:R_0805_2012Metric","~","","","",""
"","","R15","1k","Device:R_Small","Resistor_SMD:R_0805_2012Metric","~","","","",""
"","","R16","1k","Device:R_Small","Resistor_SMD:R_0805_2012Metric","~","","","",""
"","","R17","1k","Device:R_Small","Resistor_SMD:R_0805_2012Metric","~","","","",""
"","","R18","0R","Device:R_Small","Resistor_SMD:R_0805_2012Metric","~","","","",""
"","","R19","1k","Device:R_Small","Resistor_SMD:R_0805_2012Metric","~","","","",""
"","","R20","570","Device:R_Small","Resistor_SMD:R_0805_2012Metric","~","","","",""
"","","R21","133","Device:R_Small","Resistor_SMD:R_0805_2012Metric","~","","","",""
"","","R22","75","Device:R_Small","Resistor_SMD:R_0805_2012Metric","~","","","",""
"","","R23","105","Device:R_Small","Resistor_SMD:R_0805_2012Metric","~","","","",""
"","","R24","1k","Device:R_Small","Resistor_SMD:R_0805_2012Metric","~","","","",""
"","","R25","0R","Device:R_Small","Resistor_SMD:R_0805_2012Metric","~","","","",""
"","","R26","0R","Device:R_Small","Resistor_SMD:R_0805_2012Metric","~","","","",""
"","","R27","174","Device:R_Small","Resistor_SMD:R_0805_2012Metric","~","","","",""
"","","R28","0R","Device:R_Small","Resistor_SMD:R_0805_2012Metric","~","","","",""
"","","R29","261","Device:R_Small","Resistor_SMD:R_0805_2012Metric","~","","","",""
"","","R30","0R","Device:R_Small","Resistor_SMD:R_0805_2012Metric","~","","","",""
"","","U1","1117-5.0","Regulator_Linear:LM1117-5.0","Package_TO_SOT_SMD:SOT-223","http://www.ti.com/lit/ds/symlink/lm1117.pdf","ST Microelectronics","","LD1117S50TR","LD1117S50"
"","","U2","ICL7660","Regulator_SwitchedCapacitor:ICL7660","Package_SO:SOIC-8_3.9x4.9mm_P1.27mm","https://www.renesas.com/us/en/document/dst/icl7660s-icl7660a-datasheet","Renesas/Intersil","968-ICL7660AIBAZA","ICL7660AIBAZA","ICL7660AIBAZA"
"","","U3","LMV793MFX","Comparator:LMV7219M5","Package_TO_SOT_SMD:SOT-23-5","https://www.ti.com/lit/ds/symlink/lmv7219.pdf","Texas Instruments","926-LMV793MFX/NOPB","LMV793MFX/NOPB",""
"","","U4","LT6550","lib:LT6550","Package_SO:MSOP-10_3x3mm_P0.5mm","https://www.analog.com/media/en/technical-documentation/data-sheets/65501fa.pdf","Analog Devices","LT6550CMS#PBF","LT6550CMS#PBF",""



"Collated Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","Manufacturer","Mouser","Part Number","TME"
"1","3","C1, C6, C7","10u/16V","Device:C_Polarized_Small","Capacitor_THT:CP_Radial_D5.0mm_P2.00mm","~","Generic","","10u/16V","UVR1C100MDD"
"2","6","C2, C3, C4, C5, C8, C9","100n/16V","Device:C_Small","Capacitor_SMD:C_0805_2012Metric","~","Generic","","100n/16V",""
"3","1","D1","1N4001","Diode:1N4001","Diode_THT:D_DO-41_SOD81_P10.16mm_Horizontal","http://www.vishay.com/docs/88503/1n4001.pdf","Generic","","1N4001","1N4001-DIO"
"4","1","D2","5.6V","Device:D_Zener","Diode_SMD:D_SOD-323_HandSoldering","https://www.tme.eu/Document/faaef3a3ceea8ac2addceecf95f9ce09/BZX384_SER.pdf","Vishay","","BZX384-C5V6,115","BZX384-C5V6.115"
"5","1","D3","Green","Device:LED","LED_SMD:LED_0805_2012Metric","~","Generic","","LED 0805 Green","LTST-C170KGKT"
"6","4","H1, H2, H3, H4","DNP","Mechanical:MountingHole_Pad","MountingHole:MountingHole_3.2mm_M3_ISO7380_Pad","~","","","",""
"7","1","J1","Barrel Jack 5.5/2.1","Connector:Barrel_Jack_Switch","Connector_BarrelJack:BarrelJack_Horizontal","https://www.tme.eu/pl/details/pc-gk2.1/zlacza-dc/ninigi/","Ninigi","","PC-GK2.1","PC-GK2.1"
"8","1","J2","D-Sub HD15 Female","Connector:DB15_Female_HighDensity_MountingHoles","lib:ICD15S13E4GV00LF","https://www.amphenol-cs.com/d-subminiature-high-density-icd15s13e4gv00lf.html","Amphenol","","ICD15S13E4GV00LF","ICD15S13E4GV00LF"
"9","3","J3, J4, J5","BNC 75 Ohm","Connector:Conn_Coaxial","Connector_Coaxial:BNC_Amphenol_B6252HB-NPP3G-50_Horizontal","https://app.adam-tech.com/products/index/category:3121","ADAM TECH","","RF1-01A-D-00-75-M","RF101AD0075M"
"10","3","Q1, Q2, Q3","Q_NPN_BEC","Device:Q_NPN_BEC","Package_TO_SOT_SMD:SOT-23","~","Generic","","BC847C","BC847C.215"
"11","6","R1, R2, R3, R6, R7, R22","75","Device:R_Small","Resistor_SMD:R_0805_2012Metric","~","","","",""
"12","8","R4, R5, R8, R15, R16, R17, R19, R24","1k","Device:R_Small","Resistor_SMD:R_0805_2012Metric","~","","","",""
"13","1","R9","1070","Device:R_Small","Resistor_SMD:R_0805_2012Metric","~","","","",""
"14","1","R10","549","Device:R_Small","Resistor_SMD:R_0805_2012Metric","~","","","",""
"15","1","R11","2940","Device:R_Small","Resistor_SMD:R_0805_2012Metric","~","","","",""
"16","8","R12, R13, R14, R18, R25, R26, R28, R30","0R","Device:R_Small","Resistor_SMD:R_0805_2012Metric","~","","","",""
"17","1","R20","570","Device:R_Small","Resistor_SMD:R_0805_2012Metric","~","","","",""
"18","1","R21","133","Device:R_Small","Resistor_SMD:R_0805_2012Metric","~","","","",""
"19","1","R23","105","Device:R_Small","Resistor_SMD:R_0805_2012Metric","~","","","",""
"20","1","R27","174","Device:R_Small","Resistor_SMD:R_0805_2012Metric","~","","","",""
"21","1","R29","261","Device:R_Small","Resistor_SMD:R_0805_2012Metric","~","","","",""
"22","1","U1","1117-5.0","Regulator_Linear:LM1117-5.0","Package_TO_SOT_SMD:SOT-223","http://www.ti.com/lit/ds/symlink/lm1117.pdf","ST Microelectronics","","LD1117S50TR","LD1117S50"
"23","1","U2","ICL7660","Regulator_SwitchedCapacitor:ICL7660","Package_SO:SOIC-8_3.9x4.9mm_P1.27mm","https://www.renesas.com/us/en/document/dst/icl7660s-icl7660a-datasheet","Renesas/Intersil","968-ICL7660AIBAZA","ICL7660AIBAZA","ICL7660AIBAZA"
"24","1","U3","LMV793MFX","Comparator:LMV7219M5","Package_TO_SOT_SMD:SOT-23-5","https://www.ti.com/lit/ds/symlink/lmv7219.pdf","Texas Instruments","926-LMV793MFX/NOPB","LMV793MFX/NOPB",""
"25","1","U4","LT6550","lib:LT6550","Package_SO:MSOP-10_3x3mm_P0.5mm","https://www.analog.com/media/en/technical-documentation/data-sheets/65501fa.pdf","Analog Devices","LT6550CMS#PBF","LT6550CMS#PBF",""
